"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","db-sync","5","0","","0"
"0","","0","db-sync: meta db replication","2","0","","0"
"0","","0","ongoing replication","7","0","","0"
"0","","0","purge","2","0","","0"
"0","","0","Database access for new roles","3","0","","0"
"0","","0","initial-replication","2","0","","0"
"0","","0","Telemetry: search matches telemetry","3","0","","0"
"0","","0","Feedback docs","2","0","","0"
"0","","0","Telemetry","1","0","","0"
