"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Creating contacts with standard config. ","","0","0","4","0","0"
"","Contact summary info","","0","0","5","1","0"
"","Delivery","","0","0","4","0","0"
"","Immunization Visit","","0","0","6","0","0"
"","New pregnancy","","0","0","5","0","0"
"","Pregnancy Visit","","0","0","3","0","0"
"","Registration by SMS","","0","0","2","0","0"
